index	captionID	pairID	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	gold_label
299342	6994642420.jpg#0	6994642420.jpg#0r1e	( ( ( Two men ) ( in ( ( ( navy ( blue uniforms ) ) ( ( with ( navy captain ) ) 's ) ) ( ( hats and ) ( white boots ) ) ) ) ) ( ( are ( ( walking down ) ( ( a ( small ( , ( brick ( , ( busy street ) ) ) ) ) ) ( at night ) ) ) ) . ) )	( ( Two men ) ( ( are ( ( walking down ) ( a street ) ) ) . ) )	(ROOT (S (NP (NP (CD Two) (NNS men)) (PP (IN in) (NP (NP (NP (NN navy) (JJ blue) (NNS uniforms)) (PP (IN with) (NP (NN navy) (NN captain))) (POS 's)) (NX (NX (NNS hats)) (CC and) (NX (JJ white) (NNS boots)))))) (VP (VBP are) (VP (VBG walking) (PRT (RP down)) (NP (NP (DT a) (JJ small) (, ,) (NN brick) (, ,) (JJ busy) (NN street)) (PP (IN at) (NP (NN night)))))) (. .)))	(ROOT (S (NP (CD Two) (NNS men)) (VP (VBP are) (VP (VBG walking) (PRT (RP down)) (NP (DT a) (NN street)))) (. .)))	Two men in navy blue uniforms with navy captain's hats and white boots are walking down a small, brick, busy street at night.	Two men are walking down a street.	entailment	entailment
145261	4209480025.jpg#2	4209480025.jpg#2r1e	( ( Man ( wearing ( ( glasses and ) ( a ( hat ( shoveling snow ) ) ) ) ) ) . )	( ( ( A man ) ( in glasses ) ) ( ( shovels snow ) . ) )	(ROOT (NP (NP (NNP Man)) (VP (VBG wearing) (NP (NP (NNS glasses)) (CC and) (NP (DT a) (NN hat) (VBG shoveling) (NN snow)))) (. .)))	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NNS glasses)))) (VP (VBD shovels) (NP (NN snow))) (. .)))	Man wearing glasses and a hat shoveling snow.	A man in glasses shovels snow.	entailment	entailment
397343	870367466.jpg#4	870367466.jpg#4r1e	( Woman ( ( ( plays guitar ) ( to ( two children ) ) ) . ) )	( There ( ( are ( two children ) ) . ) )	(ROOT (S (NP (NNP Woman)) (VP (VBZ plays) (NP (NN guitar)) (PP (TO to) (NP (CD two) (NNS children)))) (. .)))	(ROOT (S (NP (EX There)) (VP (VBP are) (NP (CD two) (NNS children))) (. .)))	Woman plays guitar to two children.	There are two children.	entailment	entailment	entailment	entailment	entailment	entailment
288997	4979318904.jpg#0	4979318904.jpg#0r1c	( ( An ( Asian ( young woman ) ) ) ( ( is ( walking ( outside ( ( ( carrying ( a book ) ) and ) ( wearing headphones ) ) ) ) ) . ) )	( ( A woman ) ( ( is ( ( eating dinner ) ( at ( the restaurant ) ) ) ) . ) )	(ROOT (S (NP (DT An) (JJ Asian) (JJ young) (NN woman)) (VP (VBZ is) (VP (VBG walking) (PP (IN outside) (S (VP (VP (VBG carrying) (NP (DT a) (NN book))) (CC and) (VP (VBG wearing) (NP (NNS headphones)))))))) (. .)))	(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ is) (VP (VBG eating) (NP (NN dinner)) (PP (IN at) (NP (DT the) (NN restaurant))))) (. .)))	An Asian young woman is walking outside carrying a book and wearing headphones.	A woman is eating dinner at the restaurant.	contradiction	contradiction
136058	8146641506.jpg#4	8146641506.jpg#4r4c	( ( A man ) ( ( ( surveys ( a booth ) ) ( at ( ( a convention ) ( featuring ( framed art ) ) ) ) ) . ) )	( ( A man ) ( ( looks ( at ( artwork ( in ( a museum ) ) ) ) ) . ) )	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ surveys) (NP (DT a) (NN booth)) (PP (IN at) (NP (NP (DT a) (NN convention)) (VP (VBG featuring) (NP (JJ framed) (NN art)))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ looks) (PP (IN at) (NP (NP (NN artwork)) (PP (IN in) (NP (DT a) (NN museum)))))) (. .)))	A man surveys a booth at a convention featuring framed art.	A man looks at artwork in a museum.	contradiction	contradiction
342182	3606909929.jpg#0	3606909929.jpg#0r3c	( ( ( ( ( ( ( A silver ) and ) ( black ( race car ) ) ) ( turns sideways ) ) and ) ( blows ( ( smoke out ) ( ( the back ) ( of ( the car ) ) ) ) ) ) . )	( ( A toddler ) ( ( is ( ( driving ( a ( race car ) ) ) ( at ( a ( NASCAR event ) ) ) ) ) . ) )	(ROOT (S (S (NP (NP (DT A) (NN silver)) (CC and) (NP (JJ black) (NN race) (NN car))) (VP (VBZ turns) (ADVP (RB sideways)))) (CC and) (S (NP (NNS blows)) (VP (VBP smoke) (PRT (RP out)) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (DT the) (NN car)))))) (. .)))	(ROOT (S (NP (DT A) (NN toddler)) (VP (VBZ is) (VP (VBG driving) (NP (DT a) (NN race) (NN car)) (PP (IN at) (NP (DT a) (JJ NASCAR) (NN event))))) (. .)))	A silver and black race car turns sideways and blows smoke out the back of the car.	A toddler is driving a race car at a NASCAR event.	contradiction	contradiction
56485	4725691880.jpg#2	4725691880.jpg#2r1c	( ( ( A ( produce market ) ) ( displaying ( ( wares and ) ( colorful flags ) ) ) ) . )	( ( ( A ( butcher shop ) ) ( with ( some signs ) ) ) . )	(ROOT (NP (NP (DT A) (NN produce) (NN market)) (VP (VBG displaying) (NP (NP (NNS wares)) (CC and) (NP (JJ colorful) (NNS flags)))) (. .)))	(ROOT (NP (NP (DT A) (NN butcher) (NN shop)) (PP (IN with) (NP (DT some) (NNS signs))) (. .)))	A produce market displaying wares and colorful flags.	A butcher shop with some signs.	contradiction	contradiction
347908	2231052760.jpg#0	2231052760.jpg#0r1c	( ( A couple ) ( ( is ( fishing ( on ( ( a ( sandy ( beach while ) ) ) ( relaxing ( under ( an umbrella ) ) ) ) ) ) ) . ) )	( ( the couple ) ( is ( on ( the pier ) ) ) )	(ROOT (S (NP (DT A) (NN couple)) (VP (VBZ is) (VP (VBG fishing) (PP (IN on) (NP (NP (DT a) (JJ sandy) (NN beach) (NN while)) (VP (VBG relaxing) (PP (IN under) (NP (DT an) (NN umbrella)))))))) (. .)))	(ROOT (S (NP (DT the) (NN couple)) (VP (VBZ is) (PP (IN on) (NP (DT the) (NN pier))))))	A couple is fishing on a sandy beach while relaxing under an umbrella.	the couple is on the pier	contradiction	contradiction
254335	414985630.jpg#2	414985630.jpg#2r1c	( ( A ( young women ) ) ( ( plays ( golf ( on ( a ( grassy turf ) ) ) ) ) . ) )	( ( The woman ) ( ( is ( ( hitting ( golf balls ) ) ( off ( the ( cement roof ) ) ) ) ) . ) )	(ROOT (S (NP (DT A) (JJ young) (NNS women)) (VP (VBZ plays) (NP (NP (NN golf)) (PP (IN on) (NP (DT a) (JJ grassy) (NN turf))))) (. .)))	(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (VP (VBG hitting) (NP (NN golf) (NNS balls)) (PP (IN off) (NP (DT the) (NN cement) (NN roof))))) (. .)))	A young women plays golf on a grassy turf.	The woman is hitting golf balls off the cement roof.	contradiction	contradiction
543817	421780367.jpg#4	421780367.jpg#4r1c	( ( Three men ) ( ( ( discuss ( ( the renovations ) ( of land ) ) ) ( before ( a tractor ) ) ) . ) )	( ( Three men ) ( ( ( discuss politics ) ( at ( a ( political event ) ) ) ) . ) )	(ROOT (S (NP (CD Three) (NNS men)) (VP (VBP discuss) (NP (NP (DT the) (NNS renovations)) (PP (IN of) (NP (NN land)))) (PP (IN before) (NP (DT a) (NN tractor)))) (. .)))	(ROOT (S (NP (CD Three) (NNS men)) (VP (VBP discuss) (NP (NNS politics)) (PP (IN at) (NP (DT a) (JJ political) (NN event)))) (. .)))	Three men discuss the renovations of land before a tractor.	Three men discuss politics at a political event.	contradiction	contradiction
333511	471094546.jpg#1	471094546.jpg#1r1c	( ( A ( small child ) ) ( ( ( looks ( into ( a fire ) ) ) ( while ( ( an ( older woman ) ) ( ( seated next ) ( to ( her prays ) ) ) ) ) ) . ) )	( ( A man ) sleeps )	(ROOT (S (NP (DT A) (JJ small) (NN child)) (VP (VBZ looks) (PP (IN into) (NP (DT a) (NN fire))) (SBAR (IN while) (S (NP (DT an) (JJR older) (NN woman)) (VP (VBN seated) (ADVP (JJ next)) (PP (TO to) (NP (PRP$ her) (NNS prays))))))) (. .)))	(ROOT (S (NP (DT A) (NN man)) (VP (VBZ sleeps))))	A small child looks into a fire while an older woman seated next to her prays.	A man sleeps	contradiction	contradiction
